timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1740752985742,26,HTTP Request,200,OK,Thread Group 1-1,text,true,,307,253,13,13,http://localhost/exam/Exo1/src/api.php,26,0,1
1740752985745,27,HTTP Request,200,OK,Thread Group 1-3,text,true,,307,253,15,15,http://localhost/exam/Exo1/src/api.php,27,0,0
1740752985748,24,HTTP Request,200,OK,Thread Group 1-4,text,true,,307,253,14,14,http://localhost/exam/Exo1/src/api.php,24,0,0
1740752985755,19,HTTP Request,200,OK,Thread Group 1-8,text,true,,307,253,14,14,http://localhost/exam/Exo1/src/api.php,19,0,0
1740752985754,20,HTTP Request,200,OK,Thread Group 1-7,text,true,,307,253,13,13,http://localhost/exam/Exo1/src/api.php,20,0,0
1740752985751,25,HTTP Request,200,OK,Thread Group 1-6,text,true,,307,253,13,13,http://localhost/exam/Exo1/src/api.php,25,0,1
1740752985757,19,HTTP Request,200,OK,Thread Group 1-9,text,true,,307,253,13,13,http://localhost/exam/Exo1/src/api.php,19,0,0
1740752985749,30,HTTP Request,200,OK,Thread Group 1-5,text,true,,307,253,13,13,http://localhost/exam/Exo1/src/api.php,30,0,1
1740752985744,37,HTTP Request,200,OK,Thread Group 1-2,text,true,,307,253,13,13,http://localhost/exam/Exo1/src/api.php,37,0,0
1740752985773,11,HTTP Request,200,OK,Thread Group 1-17,text,true,,307,255,13,13,http://localhost/exam/Exo1/src/api.php,11,0,1
1740752985775,11,HTTP Request,200,OK,Thread Group 1-18,text,true,,307,255,13,13,http://localhost/exam/Exo1/src/api.php,11,0,0
1740752985764,26,HTTP Request,200,OK,Thread Group 1-12,text,true,,307,255,14,14,http://localhost/exam/Exo1/src/api.php,26,0,0
1740752985761,31,HTTP Request,200,OK,Thread Group 1-11,text,true,,307,255,14,14,http://localhost/exam/Exo1/src/api.php,31,0,0
1740752985760,34,HTTP Request,200,OK,Thread Group 1-10,text,true,,307,255,14,14,http://localhost/exam/Exo1/src/api.php,34,0,1
1740752985789,11,HTTP Request,200,OK,Thread Group 1-25,text,true,,307,255,16,16,http://localhost/exam/Exo1/src/api.php,11,0,0
1740752985765,35,HTTP Request,200,OK,Thread Group 1-13,text,true,,307,255,16,16,http://localhost/exam/Exo1/src/api.php,35,0,0
1740752985783,24,HTTP Request,200,OK,Thread Group 1-22,text,true,,307,255,17,17,http://localhost/exam/Exo1/src/api.php,24,0,1
1740752985779,30,HTTP Request,200,OK,Thread Group 1-20,text,true,,307,255,18,18,http://localhost/exam/Exo1/src/api.php,30,0,0
1740752985777,36,HTTP Request,200,OK,Thread Group 1-19,text,true,,307,255,19,19,http://localhost/exam/Exo1/src/api.php,36,0,0
1740752985786,27,HTTP Request,200,OK,Thread Group 1-23,text,true,,307,255,19,19,http://localhost/exam/Exo1/src/api.php,27,0,0
1740752985787,26,HTTP Request,200,OK,Thread Group 1-24,text,true,,307,255,19,19,http://localhost/exam/Exo1/src/api.php,26,0,0
1740752985782,35,HTTP Request,200,OK,Thread Group 1-21,text,true,,307,255,18,18,http://localhost/exam/Exo1/src/api.php,35,0,0
1740752985768,49,HTTP Request,200,OK,Thread Group 1-15,text,true,,307,255,17,17,http://localhost/exam/Exo1/src/api.php,49,0,1
1740752985771,48,HTTP Request,200,OK,Thread Group 1-16,text,true,,307,255,16,16,http://localhost/exam/Exo1/src/api.php,48,0,1
1740752985768,53,HTTP Request,200,OK,Thread Group 1-14,text,true,,307,255,16,16,http://localhost/exam/Exo1/src/api.php,53,0,1
